Time_s,Level_PV_m,Level_SP_m,Level_OP_pct,Temp_PV_C,Temp_SP_C,Temp_OP_pct,CA_PV_mol/m3,CC_PV_mol/m3
0.0,1.7822666666660802,2.0,0.0,37.001268177016016,37.0,41.89584720845245,506.9469562483023,473.1168196149372
0.1,1.7823999999994133,2.0,0.0,37.00126802816254,37.0,41.89569621821567,506.92961925697927,473.132314463722
0.2,1.7825333333327464,2.0,0.0,37.00126787933857,37.0,41.895545245604836,506.91228390114026,473.1478077081448
0.30000000000000004,1.7826666666660793,2.0,0.0,37.00126773054416,37.0,41.89539429061698,506.89495018053196,473.16329934846044
0.4,1.7827999999994124,2.0,0.0,37.001267581779246,37.0,41.895243353247864,506.87761809490127,473.1787893849238
0.5,1.7829333333327455,2.0,0.0,37.00126743304389,37.0,41.89509243349464,506.8602876439952,473.1942778177896
0.6000000000000001,1.7830666666660784,2.0,0.0,37.00126728433804,37.0,41.894941531353076,506.84295882756055,473.20976464731285
0.7000000000000001,1.7831999999994115,2.0,0.0,37.00126713566169,37.0,41.89479064682032,506.8256316453444,473.2252498737481
0.8,1.7833333333327446,2.0,0.0,37.00126698701479,37.0,41.89463977989271,506.8083060970938,473.2407334973502
0.9,1.7834666666660774,2.0,0.0,37.001266838397385,37.0,41.89448893056728,506.7909821825559,473.25621551837366
1.0,1.7835999999994105,2.0,0.0,37.00126668980954,37.0,41.89433809883981,506.7736599014779,473.27169593707316
1.1,1.7837333333327436,2.0,0.0,37.00126654125114,37.0,41.894187284706305,506.75633925360694,473.2871747537031
1.2000000000000002,1.7838666666660765,2.0,0.0,37.00126639272224,37.0,41.894036488164474,506.7390202386903,473.302651968518
1.3,1.7839999999994096,2.0,0.0,37.001266244222734,37.0,41.89388570920998,506.7217028564753,473.3181275817723
1.4000000000000001,1.7841333333327427,2.0,0.0,37.001266095752726,37.0,41.89373494784056,506.70438710670936,473.33360159372023
1.5,1.7842666666660756,2.0,0.0,37.001265947312106,37.0,41.89358420405129,506.68707298913995,473.34907400461634
1.6,1.7843999999994087,2.0,0.0,37.00126579890093,37.0,41.89343347784001,506.66976050351445,473.36454481471463
1.7000000000000002,1.7845333333327418,2.0,0.0,37.001265650519144,37.0,41.89328276920241,506.65244964958055,473.3800140242695
1.8,1.7846666666660747,2.0,0.0,37.0012655021668,37.0,41.89313207813563,506.6351404270858,473.3954816335349
1.9000000000000001,1.7847999999994077,2.0,0.0,37.00126535384379,37.0,41.892981404635464,506.6178328357778,473.41094764276505
2.0,1.7849333333327408,2.0,0.0,37.001265205550226,37.0,41.89283074869963,506.6005268754042,473.42641205221395
2.1,1.7850666666660737,2.0,0.0,37.00126505728605,37.0,41.89268011032324,506.58322254571283,473.44187486213553
2.2,1.7851999999994068,2.0,0.0,37.00126490905126,37.0,41.892529489503566,506.56591984645144,473.4573360727838
2.3000000000000003,1.78533333333274,2.0,0.0,37.00126476084586,37.0,41.89237888623696,506.54861877736795,473.4727956844126
2.4000000000000004,1.7854666666660728,2.0,0.0,37.00126461266984,37.0,41.89222830051989,506.5313193382103,473.4882536972757
2.5,1.7855999999994059,2.0,0.0,37.0012644645231,37.0,41.89207773234884,506.51402152872646,473.5037101116269
2.6,1.785733333332739,2.0,0.0,37.00126431640581,37.0,41.89192718172143,506.49672534866426,473.5191649277199
2.7,1.7858666666660719,2.0,0.0,37.00126416831779,37.0,41.891776648632195,506.47943079777195,473.5346181458084
2.8000000000000003,1.785999999999405,2.0,0.0,37.00126402025916,37.0,41.891626133079676,506.4621378757976,473.5500697661459
2.9000000000000004,1.786133333332738,2.0,0.0,37.0012638722298,37.0,41.89147563505886,506.4448465824894,473.565519788986
3.0,1.786266666666071,2.0,0.0,37.00126372422977,37.0,41.8913251545676,506.42755691759555,473.5809682145823
3.1,1.786399999999404,2.0,0.0,37.001263576259134,37.0,41.891174691601584,506.41026888086435,473.59641504318813
3.2,1.7865333333327371,2.0,0.0,37.00126342831777,37.0,41.89102424615681,506.39298247204414,473.61186027505687
3.3000000000000003,1.78666666666607,2.0,0.0,37.00126328040574,37.0,41.89087381823104,506.37569769088327,473.6273039104419
3.4000000000000004,1.786799999999403,2.0,0.0,37.00126313252292,37.0,41.890723407819955,506.35841453713016,473.64274594959653
3.5,1.7869333333327362,2.0,0.0,37.00126298466938,37.0,41.890573014921294,506.3411330105334,473.65818639277387
3.6,1.787066666666069,2.0,0.0,37.00126283684517,37.0,41.89042263953075,506.32385311084147,473.6736252402272
3.7,1.7871999999994022,2.0,0.0,37.00126268905018,37.0,41.89027228164434,506.306574837803,473.6890624922096
3.8000000000000003,1.7873333333327353,2.0,0.0,37.001262541284405,37.0,41.89012194125982,506.2892981911666,473.7044981489741
3.9000000000000004,1.7874666666660681,2.0,0.0,37.00126239354796,37.0,41.88997161837346,506.27202317068105,473.71993221077366
